Amp_min,Amp_max,Amp_var,Amp_skew,Amp_rango,Amp_Kurtosis,Amp_entropy,Phase_min,Phase_var,Phase_skew,Phase_entropy,RMS_max,RMS_skew,RMS_rango,RMS_Kurtosis,RMS_entropy,SP_min,SP_max,SP_var,SP_skew,SP_rango,SP_Kurtosis,SP_entropy,SP_stError,FFT_min,FFT_max,FFT_avg,FFT_median,FFT_var,FFT_skew,FFT_rango,FFT_Kurtosis,FFT_entropy,FFT_stError,Pd_max,Pd_avg,Pd_var,Pd_skew,Pd_rango,Pd_Kurtosis,Pd_entropy,Duration_Avg,SumNoPktsSent,numPktSent_avg,NoBytesSnt_avg,minPktSize_min,maxPktSize_max,avgPktSz_avg,pktps_avg,bytps_avg,maxIAT_max,avgIAT_avg,Class
0.002581059,0.6902556,0.001210605,15.12232,0.6902556,240.0694,0.074171962,0.09011806,3.381202,0.0386219,3.879179292,0.4880844,15.1223,0.4880844,240.0693,0.074171971,0.001217289,0.4764528,0.000356973,17.77594,0.4764528,342.0151,0.075791158,1.76E-06,0.000193019,7255.317,0.002800648,95.88331,139882.2,3287.106,7255.315,2.53E+07,4.468123269,0.03489,0.07246302,1.67E-14,3.75E-07,13.57929,0.07246302,423.981,1.386921133,111.630016,112,112,5615,17,51,50.13393,1.003314,50.30009,1.671043,0.9966965,anomalous
0.003152791,0.8489469,0.00183479,14.98176,0.8489469,234.9678,0.074256203,0.1005561,3.37453,0.02812812,3.902139835,0.6002961,14.98172,0.6002961,234.9679,0.074256203,0.001604287,0.5981692,0.000598067,16.86763,0.5981692,302.1122,0.076416514,2.28E-06,0.000367493,7962.666,0.003223094,99.32179,212919.6,8650240,7962.665,2.58E+09,4.626153552,0.0429499,0.06969433,5.96E-15,6.68E-07,13.88055,0.06969433,425.28,1.623021422,111.628259,113,113,5698,49,51,50.42478,1.012288,51.04442,1.669502,0.9878607,anomalous
0.002031018,0.410564,0.000673512,13.88586,0.410564,194.0342,0.071829317,0.09483919,3.39902,0.03383867,3.883727175,0.2903126,13.88586,0.2903126,194.0342,0.071829318,0.002009523,0.4959854,0.000784577,13.9271,0.4959854,195.7848,0.076070929,2.61E-06,6.82E-05,5837.08,0.003760371,51.84563,78447.94,3988.531,5837.083,2.94E+07,4.314283238,0.0260309,0.0471596,2.62E-15,1.52E-07,17.46243,0.0471596,708.5856,1.221650909,112.015306,113,113,5766,50,52,51.02655,1.008791,51.47511,1.004366,0.9912859,normal
0.003371476,1.206924,0.002162505,15.24407,1.206924,246.8864,0.069905225,-0.08372466,4.067368,0.1885212,3.533143359,0.8534244,15.24409,0.8534244,246.8863,0.069905226,0.000541461,0.2301589,6.93E-05,17.99539,0.2301589,359.9775,0.074980962,7.76E-07,0.000129498,9048.151,0.002472351,141.8623,249881.5,12865.15,9048.15,1.57E+08,4.539511674,0.04662564,0.03137494,1.82E-15,7.21E-08,12.7918,0.03137494,358.0692,1.410990688,111.670139,113,113,5709,49,51,50.52213,1.011909,51.12378,1.431243,0.9882315,anomalous
0.002115905,0.4254291,0.000730275,13.87303,0.4254291,193.6966,0.072374596,-0.204406,3.80174,0.313063,3.292502824,0.3008238,13.873,0.3008238,193.6966,0.072374596,0.002180885,0.5724224,0.000925599,13.94346,0.5724224,196.3042,0.075778372,2.88E-06,0.000155618,5755.375,0.001245243,21.92991,84872.48,9173.961,5755.376,7.99E+07,4.38445285,0.02710594,0.04549672,9.63E-15,1.77E-07,16.59407,0.04549672,613.495,1.30396424,112.015998,113,113,5766,50,52,51.02655,1.008784,51.47479,1.006097,0.9912921,normal
0.003516366,0.7385896,0.002175274,13.90796,0.7385896,194.6583,0.072066704,-0.2700217,3.163202,0.4077289,3.111447921,0.5222617,13.90797,0.5222617,194.6584,0.072066696,0.002184091,0.5467977,0.000929415,13.94981,0.5467977,196.4486,0.075928288,2.86E-06,9.65E-05,11357.59,0.004787203,87.80795,249304.2,3913.977,11357.59,2.33E+07,4.199418088,0.04677304,0.1798377,7.42E-15,1.61E-06,18.68853,0.1798377,863.1711,1.109825411,110.016229,112,112,5679,17,52,50.70536,1.018032,51.61966,1.004204,0.9822877,normal
0.003798342,0.8037606,0.002550736,13.86421,0.8037606,193.4475,0.072328731,0.09726536,3.37133,0.03200904,3.89116539,0.5683446,13.86417,0.5683446,193.4475,0.072328737,0.005830822,1.463761,0.006611958,13.97914,1.463761,197.9059,0.076795771,7.61E-06,0.000155575,12296.59,0.002171592,105.9789,274498.5,81726.23,12296.59,1.52E+09,4.158521664,0.0506465,0.2354053,6.78E-14,2.18E-06,18.38972,0.2354053,901.0269,1.039550294,104.015398,105,105,5350,50,52,50.95238,1.009466,51.43469,1.006181,0.9906228,normal
0.002115977,0.4355536,0.000730865,13.8632,0.4355536,193.4172,0.07220463,-0.03870643,2.683223,0.1908916,3.600643258,0.3079829,13.86317,0.3079829,193.4172,0.07220464,0.002181808,0.5385273,0.000925898,13.93757,0.5385273,196.1067,0.076155022,2.94E-06,0.000213634,7459.483,0.001994646,81.0083,84826.9,21696.8,7459.482,2.57E+08,4.045950339,0.02711688,0.07693134,2.17E-16,1.82E-07,19.60105,0.07693134,1124.828,0.9575757,112.015645,113,113,5766,50,52,51.02655,1.008788,51.47495,1.006125,0.9912888,normal
0.005506236,1.180804,0.005524237,13.8781,1.180804,193.8123,0.071182039,0.2674049,3.484544,-0.1378182,4.236316033,0.8349545,13.87812,0.8349545,193.8124,0.071182028,0.00067801,0.1701377,8.97E-05,13.96582,0.1701377,196.981,0.076214277,8.80E-07,6.82E-05,18703.93,0.008357744,218.0094,624849.4,31009.11,18703.94,4.93E+08,4.121833504,0.07452824,0.5199804,4.46E-14,1.01E-05,17.02233,0.5199804,697.8082,1.027095354,108.877731,110,110,5610,50,52,51,1.010308,51.52569,1.006181,0.9897977,normal
0.003795416,0.7955289,0.002548704,13.86954,0.7955289,193.5945,0.07236698,0.09214319,3.350973,0.03740159,3.881316034,0.5625239,13.8695,0.5625239,193.5944,0.072366982,0.005804725,1.516877,0.006592124,14.02185,1.516877,199.1147,0.076106967,7.69E-06,0.000425057,11176.36,0.002084515,52.91768,282537.9,3750.524,11176.36,1.57E+07,4.300697026,0.05062608,0.1790945,1.54E-14,2.16E-06,16.92043,0.1790945,673.0135,1.218765552,107.012488,109,109,5523,17,52,50.66972,1.018573,51.6108,1.005002,0.981766,normal
